"Time","trees","people","pollution"
0,0,30,6
1,1,32,10.800000000000004
2,3,34,15.120000000000001
3,7,40,19.188000000000017
4,10,42,23.069700000000005
5,11,46,26.80505999999999
6,16,52,30.405846000000015
7,19,59,33.894886200000016
8,25,68,37.25893910999993
9,25,73,40.53051714000001
10,30,83,41.66078869199999
11,31,87,43.83510318609
12,34,90,46.05988723529701
13,37,93,48.26646499354983
14,44,97,50.42347833109639
15,52,103,52.5352506094896
16,54,112,54.59667153662729
17,58,115,56.607656248466164
18,66,119,58.56948127262291
19,71,125,60.48348641015166
20,79,132,62.35192424431417
21,89,136,64.17533020308177
22,91,138,65.95729756344149
23,96,143,67.68397846213001
24,102,146,69.38186906149798
25,114,151,71.03880445610223
26,121,157,72.64203351247872
27,131,161,74.22353162778374
28,141,167,75.15932715325195
29,153,172,75.34468479051887
30,167,174,75.57797225162679
31,174,181,71.41643991926938
32,177,187,68.96937497907483
33,187,190,67.8189072526963
34,197,194,67.3752377187427
35,206,201,67.2529524217507
36,212,205,67.3096184468867
37,227,210,67.49339750249733
38,239,212,67.29363397271281
39,249,217,67.34666592849717
40,254,222,66.89997531921522
41,262,224,63.99972703987241
42,279,232,63.13481782949993
43,292,238,62.57938482736719
44,300,241,62.30469259921982
45,312,246,62.121264322529655
46,327,249,60.93777795206784
47,338,255,60.06153755428093
48,350,266,59.41338525474399
49,364,272,57.65538025990162
50,380,276,55.767059961297775
51,394,253,54.88682206842374
52,400,258,53.54710324599062
53,407,260,49.33649118782058
54,413,262,47.187401784343194
55,423,267,45.82398920165051
56,430,270,44.642297472309316
57,441,275,43.91499977350601
58,450,277,43.22801941094089
59,464,276,42.68220179766842
60,475,278,41.887575769035244
61,486,272,39.75091007328914
62,492,277,38.913267620332434
63,505,285,38.283003188024686
64,516,286,37.614879655105874
65,519,293,37.14095808117448
66,529,296,33.01340566093017
67,530,292,30.87387688627424
68,533,296,29.336481420415293
69,538,300,28.17162860272118
70,553,302,27.225243970267606
71,557,306,26.449844361391353
72,565,316,25.796474218038643
73,585,320,23.523558712278568
74,597,321,22.503667012877674
75,603,325,17.748859344722113
76,612,323,15.619323753744652
77,618,326,14.040513535849074
78,625,330,12.98343860058844
79,634,333,10.481949768307228
80,643,331,9.560381955389607
81,651,340,9.015621509241612
82,669,340,9.153733812243162
83,678,338,8.908747356393944
84,682,345,8.729226549292097
85,696,348,8.613636965120152
86,708,348,8.533240046385922
87,712,352,8.47691070423403
88,715,352,8.436827446446232
89,722,357,8.407925946649314
90,736,365,8.386659892384666
91,748,366,8.370786573942878
92,756,373,8.359470056314194
93,759,369,8.351289263822325
94,772,367,8.345195650948114
95,782,369,8.337899796300592
96,779,373,8.333007709024123
97,781,379,8.329811995092872
98,785,379,8.327511271782162
99,795,376,7.8257926931507615
100,795,383,8.474452514291725
101,800,388,8.631352135445914
102,810,392,8.753640406372352
103,813,388,8.785255681099992
104,824,392,8.835916284555422
105,831,390,8.880804863599359
106,844,390,8.687751634027325
107,843,386,6.458619070566043
108,854,385,6.115623566606269
109,858,384,5.9731658631198545
110,856,383,5.8864577430807925
111,858,381,5.820567715659648
112,865,383,4.885683602505781
113,864,383,4.781440759951166
114,866,378,4.741696895014945
115,877,377,4.730276258128273
116,883,375,4.724309696230425
117,897,371,4.833749542596688
118,901,373,3.9109255925974056
119,909,373,3.8670637609031044
120,908,368,3.8472094097151004
121,914,368,3.833008852787078
122,919,368,3.6878902000273937
123,909,358,3.6402851436620467
124,911,356,3.107563695985021
125,912,357,3.0603388952182407
126,910,356,3.0340757516459456
127,910,363,3.0208653047576504
128,905,357,3.013312595038056
129,896,357,3.0106416907495603
130,889,352,3.123354684082513
131,889,356,3.207069268339606
132,885,350,3.2650350315500587
133,883,346,3.297289379825158
134,885,348,3.319190610634373
135,882,344,3.331991242549285
136,881,340,3.3375356950204527
137,881,336,2.8232410340025997
138,884,331,2.7220237454302043
139,875,329,2.6714712134313796
140,880,327,1.5000000271507783
141,874,322,1.5000000082176872
142,866,318,1.5000000006425775
143,868,315,1.0000000002327623
144,861,316,1.0000000000983027
145,853,315,1.000000000049782
146,858,314,1.0000000000295726
147,862,309,0.5000000000186352
148,869,306,0.5000000000043924
149,861,307,0.5000000000029541
150,859,299,1.0000000000021965
151,851,296,1.0000000000017635
152,845,291,1.0000000000014642
153,841,288,1.0000000000012386
154,831,292,1.00000000000106
155,835,290,1.0000000000009044
156,829,290,1.0000000000007476
157,834,287,1.0000000000006395
158,822,289,2.0000000000005542
159,819,284,2.0000000000004885
160,817,283,2.000000000000431
161,816,281,2.000000000000383
162,819,282,2.000000000000311
163,816,282,2.500000000000268
164,803,276,2.50000000000023
165,794,277,2.5000000000001923
166,795,282,2.500000000000166
167,787,285,2.5000000000001394
168,785,285,2.5000000000001172
169,777,282,3.5000000000000995
170,773,285,3.50000000000005
171,764,287,3.500000000000036
172,762,285,3.000000000000024
173,760,282,3.000000000000018
174,752,280,3.0000000000000138
175,749,281,3.500000000000012
176,743,280,3.5000000000000084
177,742,277,3.500000000000007
178,742,272,3.500000000000005
179,744,275,3.500000000000004
180,744,271,3.5000000000000018
181,749,274,3.5000000000000027
182,747,273,3.500000000000002
183,746,269,3.5000000000000004
184,743,269,3.5000000000000004
185,735,272,3.500000000000001
186,732,272,3.5000000000000004
187,721,273,3.500000000000001
188,721,275,4
189,728,275,3.5
190,722,278,3.5000000000000004
191,722,278,3.65
192,718,274,3.745
193,724,279,3.778
194,719,275,4.492100000000001
195,716,277,4.689724999999998
196,714,281,4.8001559999999985
197,718,278,4.877577200000003
198,706,281,6.01447325
199,709,282,6.658124059
200,709,280,7.1704210476000005
201,713,282,7.60852508582
202,716,277,7.992545985939001
203,720,277,8.333364795145451
204,723,275,8.000575856533366
205,722,278,7.978162469629021
206,715,278,7.996588603749897
207,711,277,8.018254119795788
208,709,279,8.03836129741838
209,715,280,8.05589259606956
210,717,278,8.070827109348356
211,716,279,7.962017733172191
212,707,284,7.942058246482242
213,707,281,7.927259668043504
214,705,278,7.9177711320526925
215,703,282,7.911071632480389
216,697,280,7.904440926085089
217,702,275,7.900346257446821
218,698,269,7.897454622746229
219,706,272,7.891766873693772
220,703,271,7.889147414655904
221,702,275,7.887335948230706
222,699,274,7.749596586809279
223,701,277,8.206307854542866
224,706,279,7.6064003994542215
225,705,283,7.459094133248022
226,705,285,7.363274101431901
227,705,289,7.022479631143682
228,704,297,6.823500913259373
229,704,300,6.815108771957622
230,705,306,6.802166810241538
231,701,309,7.06249659786823
232,700,310,7.301174815187862
233,697,310,7.501753249222246
234,699,318,7.6740065830036785
235,704,324,7.8215459349389045
236,707,323,7.9481989409206575
237,712,327,8.057225854169149
238,710,331,8.151372010856415
239,711,331,8.232928636878642
240,711,338,8.803783174586163
241,710,336,8.865516767570128
242,718,337,10.169438408682277
243,707,338,10.535003743293059
244,714,345,10.55380144310204
245,722,351,10.550337497396773
246,735,352,10.54806774337388
247,732,356,10.534168137507182
248,738,365,10.465889022476622
249,733,360,10.057860217196385
