"Time","trees","people","pollution"
0,0,30,6
1,2,32,10.800000000000004
2,8,38,15.120000000000003
3,8,39,19.20000000000001
4,13,43,23.112
5,17,47,26.899199999999986
6,22,49,30.588048000000025
7,24,55,34.19648640000002
8,29,63,37.73732975999997
9,35,70,41.22014159999994
10,40,77,44.65229870010011
11,43,85,45.636426037119946
12,53,91,47.82019022919699
13,58,95,50.16736396836764
14,65,103,52.56793831537912
15,71,109,54.868339568455454
16,80,112,57.1110401494562
17,89,126,59.34163490342847
18,102,129,61.47595693432026
19,113,138,63.642771562012264
20,125,141,63.97741427099324
21,132,150,61.11557878762035
22,147,158,59.223454890718074
23,163,163,58.919166957554815
24,177,168,59.07809045042962
25,191,174,59.427099771091655
26,201,181,60.000233780779126
27,213,190,60.61166196113776
28,226,197,60.590313311066105
29,247,201,59.964155714472916
30,266,209,59.582617424766816
31,280,216,58.84732228038093
32,294,224,58.37393482389977
33,313,231,53.6402560018921
34,331,238,51.163634771356904
35,360,241,45.68662490986174
36,381,254,39.171499781987166
37,398,262,36.02294040974498
38,427,268,33.79038884390189
39,445,275,28.439851352748967
40,464,282,26.424775271919057
41,487,287,23.953327040070956
42,514,292,22.42451174435133
43,530,296,21.490763816635035
44,558,303,20.216164205406926
45,576,313,19.319424414540205
46,599,320,18.44176900848713
47,626,328,14.658010395744823
48,656,340,11.069778625047993
49,677,350,9.067253675469164
50,699,361,8.164117614386873
51,725,333,5.394412464637434
52,753,341,4.137567203030911
53,783,344,3.9261859343013055
54,812,348,3.811181663499481
55,833,354,3.7384278222948057
56,858,359,3.6523822055505337
57,881,367,3.6097638182165723
58,899,375,3.581774780563925
59,922,378,3.5618598935743693
60,938,384,3.5482022560533726
61,963,384,3.5387571042875337
62,988,384,3.5253431944876517
63,1023,389,3.0181741385299636
64,1049,394,3.0126116582174176
65,1075,398,3.009273149654949
66,1104,406,3.003964551065144
67,1125,413,3.002321617235382
68,1148,412,3.0013416443657195
69,1165,415,3.0008893748385015
70,1180,420,3.0006041690583145
71,1209,437,3.000415188035411
72,1226,436,3.00028971427916
73,1246,437,3.0001736924676052
74,1275,446,3.0001161483207643
75,1296,451,3.000077250416023
76,1317,456,3.000052309877474
77,1338,463,3.000035658062862
78,1365,462,2.5000232869822487
79,1376,465,2.000016533194649
80,1390,471,2.0000117807133857
81,1411,475,2.0000073168298154
82,1440,483,2.0000050338458544
83,1461,488,2.0000034498159196
84,1478,496,2.0000019025837052
85,1492,505,2.0000010574597145
86,1531,518,2.000000623166576
87,1557,522,2.000000186939827
88,1568,530,2.000000076903021
89,1584,542,2.0000000256949964
90,1621,553,1.5000000098696777
91,1644,564,1.5000000035927632
92,1648,578,1.5000000014272814
93,1685,585,1.5000000005908993
94,1712,595,1.5000000002624967
95,1747,608,1.0000000001270382
96,1758,612,1.0000000000676346
97,1777,619,1.0000000000356584
98,1803,627,1.500000000015644
99,1834,629,2.0000000000014793
100,1859,633,2.0000000000005698
101,1890,639,2.0000000000002185
102,1893,655,2.500000000000084
103,1904,660,3.000000000000032
104,1926,670,2.5000000000000053
105,1956,678,2.5000000000000013
106,1985,682,2.5000000000000004
107,2001,684,2.5
108,2023,698,2.5
109,2054,698,2.5
110,2088,699,2.5
111,2119,704,2
112,2128,711,2
113,2147,720,1.5
114,2166,725,2
115,2191,732,1
116,2196,739,0.5
117,2237,742,0.5
118,2264,754,1.1795293616966982e-21
119,2298,764,4.5683545435706355e-22
120,2341,773,1.7823948853019981e-22
121,2358,782,6.994757033838061e-23
122,2381,778,2.7574560653493436e-23
123,2417,788,1.0908482030597878e-23
124,2427,800,4.32699094715488e-24
125,2458,813,1.7198758205981138e-24
126,2484,832,6.841252593284073e-25
127,2537,849,2.7266725381037965e-25
128,2559,869,1.0877204673187655e-25
129,2596,888,4.342036234605303e-26
130,2639,905,0.5
131,2671,917,0.5
132,2704,932,0.5
133,2732,950,0.5
134,2774,969,0.5
135,2801,986,0.5
136,2826,1000,0.5
137,2869,1015,1.990302694067382e-30
138,2913,1027,3.977166874530307e-31
139,2964,1033,7.954330842653153e-32
140,2981,1042,1.5908661685306298e-32
141,3012,1058,3.181732337061259e-33
142,3068,1072,6.3634646741225176e-34
143,3097,1085,1.272692934824503e-34
144,3139,1105,2.5453858696490054e-35
145,3188,1127,5.0907717392980104e-36
146,3254,1126,1.0181543478596018e-36
147,3285,1143,2.036308695719204e-37
148,3326,1169,4.072617391438406e-38
149,3352,1182,8.145232032121672e-39
150,3404,1199,1.6290464064243338e-39
151,3426,1212,3.2580928128486666e-40
152,3486,1227,6.516185625697332e-41
153,3544,1237,0
154,3581,1255,0
155,3622,1274,0
156,3661,1281,0
157,3724,1297,0
158,3771,1317,0
159,3802,1335,0
160,3851,1347,0
161,3898,1357,0
162,3971,1376,0
163,4020,1390,0
164,4071,1397,0
165,4120,1418,0
166,4186,1434,0
167,4222,1441,0
168,4271,1458,0
169,4339,1466,0
170,4393,1480,0
171,4467,1498,0
172,4543,1498,0
173,4600,1520,0
174,4658,1530,0
175,4727,1547,0
176,4771,1562,0
177,4834,1575,0
178,4879,1584,0
179,4927,1580,0
180,4964,1588,0
181,5029,1607,0
182,5095,1633,0
183,5155,1643,0
184,5194,1664,0
185,5255,1676,0
186,5300,1681,0
187,5343,1697,0
188,5399,1702,0
189,5440,1717,0
190,5503,1734,0
191,5566,1743,0
192,5637,1740,0
193,5695,1748,0
194,5755,1761,0
195,5775,1785,0
196,5815,1794,0
197,5870,1820,0
198,5927,1836,0
199,5980,1842,0
200,6034,1861,0
201,6089,1873,0
202,6161,1890,0
203,6215,1905,0
204,6262,1916,0
205,6335,1925,0
206,6390,1935,0
207,6431,1957,0
208,6503,1966,0
209,6584,1972,0
210,6624,1976,0
211,6673,1993,0
212,6715,2010,0
213,6749,2015,0
214,6802,2029,0
215,6859,2048,0
216,6903,2063,0
217,6965,2064,0
218,7025,2082,0
219,7060,2080,0
220,7092,2091,0
221,7130,2104,0
222,7162,2115,0
223,7190,2133,0
224,7246,2141,0
225,7302,2151,0
226,7367,2157,0
227,7370,2154,0
228,7451,2144,0
229,7501,2145,0
230,7552,2144,0
231,7610,2151,0
232,7630,2146,0
233,7655,2130,0
234,7715,2125,0
235,7765,2102,0
236,7827,2092,0
237,7859,2089,0
238,7882,2073,0
239,7915,2064,0
240,7922,2056,0
241,7972,2056,0
242,7980,2053,0
243,8026,2053,0
244,8048,2037,0
245,8110,2017,0
246,8152,1996,0
247,8160,1980,0
248,8180,1963,0
249,8182,1948,0
250,8180,1934,0
251,8200,1922,0
252,8191,1908,0
253,8183,1896,0
254,8189,1885,0
255,8166,1884,0
256,8154,1870,0
257,8131,1853,0
258,8119,1840,0
259,8091,1828,0
260,8090,1820,0
261,8066,1815,0
262,8031,1800,0
263,8020,1789,0
264,8012,1784,0
265,8006,1774,0
266,7990,1765,0
267,7950,1749,0
268,7924,1740,0
269,7900,1726,0
270,7866,1726,0
271,7847,1717,0
272,7833,1702,0
273,7805,1685,0
274,7756,1677,0
275,7713,1657,0
276,7677,1649,0
277,7642,1626,0
278,7573,1616,0
279,7540,1615,0
280,7509,1610,0
281,7441,1614,0
282,7411,1598,0
283,7370,1595,0
284,7327,1595,0
285,7285,1596,0
286,7221,1603,0
287,7173,1596,0
288,7150,1590,0
289,7132,1586,0
290,7150,1591,0
291,7077,1590,0
292,7049,1582,0
293,6996,1587,0
294,6939,1583,0
295,6869,1601,0
296,6813,1610,0
297,6796,1607,0
298,6743,1608,0
299,6738,1609,0
300,6718,1604,0
301,6686,1607,0
302,6648,1597,0
303,6626,1598,0
304,6609,1593,0
305,6598,1586,0
306,6591,1573,0
307,6608,1570,0
308,6576,1565,0
309,6573,1559,0
310,6573,1549,0
311,6563,1555,0
312,6550,1548,0
313,6523,1561,0
314,6495,1555,0
315,6456,1542,0
316,6439,1545,0
317,6421,1537,0
318,6399,1532,0
319,6369,1531,0
320,6367,1520,0
321,6339,1522,0
322,6317,1517,0
323,6310,1501,0
324,6303,1502,0
325,6289,1498,0
326,6294,1502,0
327,6307,1501,0
328,6317,1510,0
329,6311,1513,0
330,6294,1517,0
331,6278,1503,0
332,6270,1501,0
333,6292,1502,0
334,6281,1485,0
335,6267,1483,0
336,6268,1489,0
337,6276,1471,0
338,6256,1480,0
339,6224,1484,0
340,6184,1485,0
341,6185,1488,0
342,6184,1483,0
343,6166,1489,0
344,6154,1480,0
345,6161,1490,0
346,6179,1479,0
347,6180,1473,0
348,6174,1471,0
349,6172,1470,0
350,6158,1468,0
351,6149,1479,0
352,6146,1482,0
353,6150,1481,0
354,6127,1483,0
355,6122,1496,0
356,6110,1491,0
357,6101,1508,0
358,6105,1527,0
359,6088,1529,0
360,6058,1539,0
361,6063,1553,0
362,6076,1559,0
363,6102,1556,0
364,6113,1554,0
365,6127,1565,0
366,6118,1575,0
367,6117,1584,0
368,6116,1601,0
