"Time","trees","people","pollution"
0,0,30,6
1,0,36,10.800000000000006
2,1,41,15.120000000000001
3,3,46,19.20000000000002
4,5,54,23.112
5,8,64,26.899199999999993
6,11,73,30.588048000000015
7,14,85,34.19648640000002
8,19,99,37.73229911999996
9,23,116,41.20893150599992
10,29,132,44.558182071299996
11,40,147,43.31937550665002
12,44,159,44.19981779186207
13,46,181,45.57106345587707
14,54,200,46.84179219172459
15,63,223,46.42073738591058
16,75,242,44.720141283595176
17,85,268,44.82181047219363
18,94,287,45.0469533056076
19,107,319,44.826170827571495
20,127,353,41.203368778364705
21,143,383,37.78811809485053
22,165,414,35.35701570776632
23,185,454,33.8130250906634
24,206,495,30.54662387712537
25,241,538,28.096509522672925
26,260,583,26.507152595484428
27,286,631,24.788061063415192
28,321,686,23.777375129829313
29,352,737,22.50790678864963
30,388,803,19.42454020786992
31,427,855,14.425880939252337
32,462,932,12.518932297669222
33,515,995,7.610594998703977
34,565,1091,5.169564644862182
35,614,1185,4.798777445866874
36,666,1283,4.47043136235194
37,731,1369,3.63989095708407
38,808,1482,3.5446159089153846
39,867,1590,3.5172316609791276
40,947,1707,3.008368721798768
41,1039,1846,3.005132914983347
42,1130,1986,3.002855507841009
43,1234,2153,2.501679230659513
44,1337,2338,2.5009632490528455
45,1454,2517,1.5004934537112393
46,1564,2742,0.5001743572536748
47,1704,2950,0.500064626192066
48,1849,3204,0.5000305848877356
49,1998,3477,0.5000042182600718
50,2177,3751,0.000001396054466773982
51,2375,4024,3.295733539847803e-7
52,2582,4357,8.959711083466843e-8
53,2809,4707,1.8723324367786976e-8
54,3073,5100,4.493270636127302e-9
55,3320,5484,5.587154132174086e-11
56,3625,5934,1.4752704323899155e-11
57,3916,6434,4.407097434571931e-12
58,4203,6967,1.3183953630123756e-12
59,4559,7543,3.9477055565325094e-13
60,4895,8150,1.182818153053255e-13
61,5299,8812,5.974055625991249e-17
62,5738,9537,1.1948111251982497e-17
63,6235,10365,0
64,6763,11209,0
65,7291,12151,0
66,7899,13119,0
67,8508,14281,0
68,9196,15515,0
69,10008,16830,0
70,10826,18188,0
71,11713,19740,0
72,12663,21365,0
73,13747,23129,0
74,14887,25083,0
75,16073,27187,0
76,17454,29506,0
77,18881,31942,0
78,20452,34642,0
79,22169,37547,0
80,23985,40698,0
81,25897,44012,0
82,28021,47655,0
83,30345,51562,0
