"Time","trees","people","pollution"
0,0,30,6
1,0,38,10.800000000000006
2,1,45,15.120000000000003
3,4,50,19.200000000000017
4,6,64,23.112
5,14,76,26.884349999999973
6,15,94,30.549981000000045
7,19,108,34.07345730000004
8,21,126,37.530074820000024
9,24,157,40.91020338599995
10,34,190,44.02277769779994
11,41,216,46.670182000679944
12,49,251,48.995270281740154
13,65,290,49.71403520070005
14,86,349,48.48699326967613
15,107,417,48.11040430254613
16,124,484,48.02890556349858
17,154,557,48.148116336952064
18,181,653,44.937227479445866
19,216,762,43.6172921699086
20,263,875,41.71955569778639
21,304,1000,37.86829531838694
22,361,1144,34.88830157631876
23,416,1331,30.632270631760715
24,491,1542,28.60309134301878
25,557,1793,19.969123131262837
26,651,2070,14.0381212957545
27,760,2374,10.75973589227482
28,855,2725,8.416225123900574
29,997,3146,5.820858888063164
30,1162,3606,3.785016294945735
31,1349,4184,2.504427366174026
32,1563,4809,1.002070350351484
33,1815,5583,1.000784380108037
34,2099,6436,0.00011861963724258982
35,2414,7428,0.000004832980376033225
36,2782,8567,0.0000012860483865499218
37,3235,9878,1.601804309264998e-9
38,3706,11304,1.5321002057447155e-10
39,4299,13008,1.2743695935535394e-11
40,4936,14966,2.539297004226832e-12
41,5695,17197,8.023491090766536e-15
42,6543,19839,0
43,7554,22813,0
44,8663,26278,0
45,9971,30174,0
46,11494,34770,0
47,13263,40064,0
48,15326,46137,0
49,17659,53121,0
50,20382,61094,0
51,23524,70249,0
52,27036,80951,0
53,31116,93165,0
