"Time","trees","people","pollution"
0,0,30,6
1,0,33,10.800000000000006
2,3,37,15.120000000000003
3,6,39,19.20000000000002
4,8,42,23.111999999999988
5,15,46,26.899199999999993
6,17,52,30.588027000000032
7,22,60,34.196358600000025
8,25,72,37.7368407
9,29,77,41.2187329169999
10,37,87,44.235158271300044
11,42,89,42.57268896056
12,50,94,42.715103974118946
13,59,98,39.446059344805136
14,63,104,38.96043785747872
15,72,110,39.0752206023004
16,80,115,34.44888251067098
17,88,120,29.735588062848606
18,100,123,26.86804056092092
19,116,128,25.139356164786125
20,125,132,21.799408908963596
21,137,139,17.682817195640006
22,144,147,15.95194433855747
23,156,156,14.747516980636584
24,169,160,13.101389703041804
25,183,162,11.935756135084908
26,202,167,10.824997588779622
27,225,174,8.9004707693846
28,245,183,6.282444254049331
29,263,189,5.564847418949779
30,284,193,4.998576265145503
31,304,199,4.671931307001983
32,321,205,4.3911602006258095
33,344,209,4.1813436187976265
34,367,214,4.013550105155931
35,385,220,3.8867538584221943
36,405,226,3.7576875829588627
37,433,234,3.6598472738854877
38,454,240,3.565617783396861
39,486,241,3.4894684948181207
40,505,249,3.4238188133160787
41,532,252,3.373708300334105
42,563,257,3.3303356314804984
43,589,265,3.2872725908876737
44,616,270,3.2394495403264933
45,645,274,3.200878322119714
46,682,277,3.16484660026763
47,712,280,2.1400429086105213
48,739,285,2.120926773006167
49,762,291,2.0999148388704727
50,796,293,2.0858427439681053
51,821,270,2.0751991722134036
52,849,276,1.5661031397801572
53,877,274,1.0585439963942014
54,905,274,1.0460849407249393
55,919,275,1.033246805477287
56,944,275,0.5268855891234161
57,969,279,0.5220607628709971
58,990,275,0.01607146520656857
59,1024,268,0.012372923278761395
60,1040,268,0.00991264446860611
61,1061,266,0.007977313640823226
62,1078,274,0.5064584210030607
63,1099,274,0.5051726618684804
64,1126,272,0.5041946411919421
65,1142,272,0.5034050332543555
66,1159,273,0.5027695303767948
67,1172,274,1.0022552353513163
68,1184,272,1.0018302212078023
69,1197,277,1.0014884338366952
70,1210,281,1.0010476858825768
71,1226,281,1.0008212383163382
72,1250,281,1.0006487071447099
73,1280,278,1.0003954749174524
74,1286,272,0.5002797542337624
75,1283,275,1.0002026372855342
76,1285,281,1.0001479014988246
77,1289,282,1.0000888275851907
78,1297,281,1.0000601035115442
79,1298,277,1.500041288027799
80,1309,274,1.500028447708062
81,1310,274,1.5000196256020768
82,1317,276,1.500012940658073
83,1318,278,1.0000088203376132
84,1325,280,1.0000060225820524
85,1333,280,1.000004235334162
86,1344,278,1.0000029418962615
87,1353,276,1.0000020364024291
88,1361,275,1.0000014081325452
89,1357,274,1.000000973303043
90,1369,281,1.0000006726242363
91,1374,284,1.0000004648045815
92,1377,288,1.0000003211858033
93,1378,287,0.5000002219435918
94,1380,285,0.50000015336703
95,1381,281,0.5000001059491599
96,1366,286,0.5000000731926185
97,1367,290,0.5000000505694784
98,1358,293,1.5000000349395715
99,1365,294,1.5000000077002502
100,1365,290,1.5000000009046415
101,1369,291,1.5000000002020886
102,1365,292,1.5000000000552522
103,1360,285,1.5000000000185632
104,1367,288,1.0000000000090032
105,1375,289,1.0000000000053437
106,1367,292,1.0000000000034626
107,1358,293,1.500000000002097
108,1356,286,1.5000000000013063
109,1343,286,1.500000000000799
110,1349,289,1.5000000000005378
111,1351,288,1.0000000000003713
112,1355,286,0.5000000000002596
113,1352,282,0.5000000000001653
114,1355,281,0.5000000000001121
115,1357,284,0.5000000000000668
116,1349,280,0.500000000000043
117,1353,279,0.500000000000029
118,1349,277,0.5000000000000198
119,1350,275,0.5000000000000108
120,1360,273,0.5000000000000051
121,1359,267,0.5000000000000028
122,1350,269,0.5000000000000018
123,1333,264,0.5000000000000008
124,1332,262,0.5000000000000002
125,1344,263,1
126,1341,259,1.0000000000000002
127,1338,253,1
128,1335,249,1
129,1342,248,1
130,1341,248,1
131,1350,248,1
132,1354,254,1
133,1356,249,1
134,1342,244,1.5
135,1331,241,1.5
136,1323,239,1.5
137,1311,237,1.5
138,1299,238,1.5
139,1294,234,1.5
140,1281,231,1.5
141,1274,225,1.5
142,1260,220,1.5
143,1261,216,1.5
144,1247,216,1.5
145,1234,213,1.5
146,1228,214,1.5
147,1220,212,1
148,1219,210,1
149,1206,206,1
150,1192,205,1
151,1191,204,1
152,1189,205,1
153,1183,201,1
154,1165,203,1.5
155,1151,201,2.5
156,1152,202,2.5
157,1152,197,2.5
158,1148,195,2.5
159,1142,191,2.5
160,1131,188,3
161,1122,185,3.15
162,1111,185,3.68
163,1109,185,4.872
164,1094,179,6.9078
165,1085,178,7.750699999999999
166,1083,174,8.195084
167,1078,176,8.4348926
168,1074,174,8.57766318
169,1061,173,8.656842352000002
170,1036,176,8.701018653800002
171,1021,174,8.72584476358
172,1018,174,8.739882973484
173,1009,172,8.787951612798002
174,1008,171,8.270679450316361
175,1002,169,8.170613182220997
176,999,167,8.131112141380447
177,992,167,8.11571246255148
178,982,169,8.109813059484427
179,969,168,8.107615102522008
180,958,164,7.643932483339225
181,944,163,7.458483773393778
182,939,161,8.600704120783371
183,925,152,6.359759803969109
184,926,151,6.176768480557155
185,928,151,6.100522219543433
186,922,148,6.065100167060032
187,915,150,6.057700665211579
188,915,150,6.057542511450579
189,905,147,6.059850088678574
190,897,145,6.062771939573881
191,892,145,6.065483576457052
192,885,143,6.102851348428332
193,870,139,6.118701614275559
194,869,138,6.134841114983899
195,867,137,6.143587573375921
196,865,136,6.1485013362612095
197,853,139,6.151333036000089
198,853,136,6.653024659854907
199,847,132,6.854374614945841
200,843,131,6.97012938380532
201,834,128,7.249081850993498
202,820,130,7.505745883799361
203,821,127,7.73382370159353
204,818,128,8.19700192107819
205,821,127,8.356394156056805
206,811,129,8.60192494466463
207,806,128,8.810431920649924
208,795,129,8.992087571635734
209,785,131,9.147850514771976
210,774,135,9.173327908816116
211,769,137,9.258241247181909
212,769,137,9.332925793847197
213,760,137,9.399460538417888
214,751,137,9.457888155475674
215,741,141,9.509215102460363
216,735,143,9.55438532353864
217,731,146,6.848338721289219
218,737,145,6.0015463044930115
219,740,147,5.72403340134257
220,749,147,5.552449950861741
221,751,147,5.43304577459318
222,745,145,5.349738251113109
223,749,145,5.2898942995179485
224,748,146,5.2356212695242625
225,745,152,5.2026794241376235
226,751,158,5.168994085936731
227,746,156,5.171217498557994
228,747,157,5.173054635919645
229,746,154,5.1735825085513145
230,743,157,5.173407841784839
231,743,160,5.684851586530488
232,737,161,5.802960007919153
233,746,165,5.868419854805193
234,743,169,6.927236188110983
235,738,170,6.973834462151696
236,729,172,7.0109415502633095
237,730,173,7.136608931140837
238,730,172,7.233754638874948
239,729,170,7.313364044018638
240,734,170,7.378530032907818
241,725,171,7.432207330180906
242,725,173,8.231111629615176
243,739,173,8.880602396682406
244,752,174,9.44466567549174
245,760,181,9.947553758150404
246,760,178,10.402247683335966
247,759,179,10.816617038242212
248,763,174,11.196054743599444
249,770,172,11.544477732536235
250,774,171,11.864598455330103
251,772,173,11.757934092037061
252,774,176,12.114829685479284
253,775,176,12.442918965393407
254,780,177,12.746523796424434
255,781,173,13.027376215274113
256,780,172,13.28998316561289
257,781,171,13.470728393373522
258,791,171,13.662875124007808
259,808,171,12.835992328291864
260,818,167,13.008034598081466
261,824,167,13.17111475501876
262,826,168,10.997798787265545
263,831,170,9.607656729777064
264,835,169,8.797432587166009
265,846,168,7.003751500665156
266,853,170,5.755256615496457
267,856,167,5.220091454622163
268,853,167,5.869902957184645
269,851,166,5.464751268710901
270,854,162,5.2385961121629805
271,855,161,5.04887669726809
272,856,164,4.9160532678943465
273,854,164,4.822091261446404
274,851,165,3.9254146043432514
275,854,162,3.770673044779004
276,849,161,3.6382784467118827
277,849,156,3.5831670271564575
278,846,161,3.5481751773230847
279,842,159,3.5300780554556677
280,841,161,3.5189463641450636
281,836,164,3.512005625247815
282,836,165,3.507639605162221
283,838,167,3.504868339623704
284,843,167,3.503113988309731
285,842,163,3.5019959475292035
286,853,165,3.5012813094818926
287,849,165,3.5008235118877495
288,848,168,3.500519257912779
289,854,168,3.500330509335988
290,856,171,3.5002111221204424
291,864,174,3.500135219048104
292,861,173,3.5000868148940474
293,848,173,3.500055664598276
294,843,174,3.5000357952360712
295,841,175,3.500023049815163
296,844,170,3.5000148506872613
297,848,174,3.0000095715769475
298,841,177,2.5000061706715537
299,843,180,2.5000039796387323
300,835,182,2.5000025669017725
301,834,187,2.500001656254398
302,842,187,2.5000009442010724
303,846,184,2.500000582995455
304,850,185,2.5000003088471234
305,847,183,2.500000107315528
306,860,186,2.5000000564410896
307,862,186,2.5000000302365195
308,872,187,2.5000000163347385
309,864,187,2.5000000088938257
310,873,188,3.8000000049164866
311,872,189,4.530000002757125
312,869,188,5.034000001597642
313,867,188,5.399600000975844
314,871,185,5.666200000617348
315,872,188,4.986627000407366
316,873,190,4.7833400002785185
317,871,190,5.4491701401998345
318,864,191,5.62247650814898
319,863,193,5.788165703408106
320,865,198,5.902649400824583
321,872,201,5.982462048967832
322,881,202,6.059792163022015
323,884,198,6.119766392383683
324,889,197,6.165848716672118
325,892,198,6.956996143130044
326,895,199,7.237965270960218
327,904,196,7.398108156727172
328,903,200,7.502230054591116
329,911,201,7.573895277245374
330,913,202,7.624530327114806
331,922,201,7.99605722173068
332,927,196,8.042947979925342
333,925,195,8.099154788622315
334,923,193,8.116119062740875
335,928,191,8.132407743895563
336,925,194,8.143569859331397
337,922,194,8.151530414601627
338,924,197,8.156261443079847
339,928,200,8.159390991497352
340,936,204,8.162248291217464
341,940,202,8.16446554810496
342,954,202,8.166224828886568
343,965,209,8.167666003794892
344,967,212,8.172803530073347
345,962,216,8.177136392268162
346,961,216,8.16236319463931
347,965,219,8.15961679706357
348,976,224,8.69314436690865
349,978,222,9.205801060319073
350,981,224,9.448202635626538
351,979,228,9.511972391397371
352,976,229,9.585152183686912
353,974,233,10.470265562888342
354,974,234,10.952265682883029
355,986,234,9.91427653727482
356,983,239,9.144506856533702
357,990,241,8.980165060557253
358,990,244,7.0487177619383825
359,996,249,5.690930594676608
360,996,251,5.047963601383103
361,1004,250,4.978349887082187
362,1010,253,4.4440036745049465
363,1022,257,4.427060477989388
364,1030,256,4.417785137025319
365,1028,259,4.412396257980072
366,1035,258,4.909129943630485
367,1048,260,4.906975033770958
368,1062,256,5.005339787283651
369,1074,258,5.08405537964987
370,1079,261,5.142775665802639
371,1079,258,5.185700377340997
372,1073,260,5.218348809737906
373,1081,263,5.244469300975132
374,1090,265,5.2653632379972874
375,1088,269,5.28236934540181
376,1098,271,5.296367549105916
377,1095,277,5.308083068821714
378,1105,277,5.3179456871797655
379,1107,275,5.326304123755664
380,1109,275,4.833424858224384
381,1114,276,4.839516012771665
382,1123,274,4.344743326168566
383,1130,276,4.506505240979142
384,1146,275,4.153952208094895
385,1161,276,4.288576874367306
386,1164,275,4.408148298373287
387,1184,274,4.475008635072618
388,1193,275,4.5491325828085065
389,1189,272,4.634798810977727
390,1188,266,4.715194898061632
391,1194,262,4.788671983078275
392,1190,264,4.855393827310201
393,1195,262,4.915890811469768
394,1203,258,4.97063206399103
395,1215,256,5.020260416793417
396,1226,252,5.066662199505104
397,1230,248,5.10595165776706
398,1221,243,5.14242378891969
399,1220,235,5.172527149108336
400,1223,233,5.220226092240108
401,1230,235,5.2677642687035755
402,1226,236,5.327813802896145
403,1224,234,5.37819737454936
404,1222,230,5.270900414617566
405,1224,228,5.058770588664801
406,1227,225,5.354593761073262
407,1218,222,5.596580026355532
408,1213,219,5.811655598628846
409,1207,217,4.862078876594813
410,1200,211,5.721216631728043
411,1195,209,5.857479718336206
412,1195,208,5.339618309469486
413,1182,204,5.820182599190843
414,1172,200,5.801458783692215
415,1170,200,5.785080198261479
416,1165,194,5.771520410631129
417,1152,194,4.731800434211812
418,1149,193,3.63259888509112
419,1137,192,3.5915224149170157
420,1132,192,3.570527841861778
421,1127,186,3.559183315308624
422,1131,186,3.5529035030635194
423,1118,183,3.549381057131531
424,1114,178,3.547387265960884
