"Time","trees","people","pollution"
0,0,30,6
1,2,36,10.8
2,2,39,15.120000000000005
3,4,42,19.20000000000001
4,7,48,23.112
5,11,50,26.872799999999984
6,12,53,30.527943000000043
7,12,59,34.0894266
8,17,64,37.48421015999995
9,23,71,40.69906203299994
10,24,78,43.872789659400084
11,29,83,46.96534772600997
12,33,90,49.976177500316986
13,39,96,52.9088398140762
14,47,100,52.92674472990225
15,47,104,54.426942257889465
16,55,109,50.64647136945809
17,60,113,49.98054956141292
18,64,118,49.90536847375784
19,64,124,50.077651046275456
20,69,127,49.51334265353425
21,74,135,49.6851900804648
22,77,142,49.99551323413827
23,81,146,50.37809101579057
24,85,153,50.792576809441194
25,90,158,51.24146542966201
26,95,168,51.707457273521015
27,103,175,51.98937955451092
28,111,187,52.38480141996891
29,118,194,50.94637493079586
30,124,203,50.67906908078749
31,131,211,50.587885949053955
32,141,216,49.93729890960888
33,154,223,49.712878393537174
34,170,229,49.477994144543736
35,181,238,49.351728930629896
36,196,248,49.07818039017955
37,211,261,48.80311170100663
38,220,267,48.676312384175695
39,226,275,47.019627694016926
40,236,285,46.40097079190261
41,244,292,45.9762495760352
42,255,299,45.58550502528097
43,267,305,43.97130814678016
44,274,308,43.41375394655238
45,289,318,42.75844712449828
46,298,329,41.68744422746306
47,311,338,40.95361109675341
48,328,343,39.93613234510808
49,343,352,36.33569156833775
50,359,361,34.14001509730724
51,373,339,32.8903420884539
52,389,345,31.41479564773911
53,406,352,30.521736224406425
54,412,355,29.80027472686145
55,427,357,29.23953308923149
56,435,366,28.90555301639539
57,455,374,23.36861680276948
58,474,380,20.612666376044782
59,485,390,17.62651658363858
60,494,391,12.408539900995207
61,510,396,11.000102650539253
62,529,405,10.326781300857096
63,537,406,10.024095507994625
64,548,410,8.712165842369712
65,558,424,8.498176091151157
66,561,430,7.883745548377729
67,572,435,7.924412924650105
68,582,440,7.918707819697422
69,604,445,7.3954696152316455
70,616,457,7.377740861064133
71,634,468,7.375175263488605
72,653,481,7.3684780910907
73,672,482,7.359179867973548
74,689,490,7.351449904420509
75,706,497,7.344346336835903
76,721,504,7.3393857634967405
77,724,511,7.334373071093604
78,725,522,7.331388868532738
79,748,522,7.32899396822419
80,763,526,7.327162192854066
81,780,527,7.325615686280994
82,790,532,7.3244181484226125
83,797,536,7.323044832635107
84,800,540,7.316338459530017
85,807,552,7.314248426216564
86,822,561,7.313233970652369
87,832,562,7.312303186117314
88,846,572,7.3118126023716155
89,864,580,7.311435136536018
90,881,584,7.3111554311091025
91,897,582,7.3163829622870304
92,903,589,7.269183781983216
93,911,602,7.257909838522883
94,932,609,6.768123490089637
95,939,618,6.663439234663004
96,952,615,5.123124180951634
97,947,617,4.957139916675635
98,953,611,4.898527570693359
99,967,622,4.869445398443602
100,984,625,5.148111819844006
101,989,624,5.41422297352129
102,995,631,5.630773274858024
103,1004,630,5.576469257801808
104,1011,635,5.503447943063171
105,1016,635,5.487434724687582
106,1024,642,5.480749974560035
107,1029,645,5.477503572982495
108,1037,650,2.498382073826751
109,1043,650,1.595156861962858
110,1052,642,1.5228906127079596
111,1060,650,2.5057394798757584
112,1055,648,2.501498204995061
