"Time","trees","people","pollution"
0,0,30,60
1,1,32,107.99999999999972
2,3,34,150.4200000000004
3,7,35,190.29899999999978
4,8,40,228.26669999999885
5,11,41,264.7611899999989
6,13,44,299.9338080000024
7,14,51,334.1119824000008
8,18,56,361.4723457200003
9,25,62,388.5391965879989
10,27,69,416.35941516440073
11,29,74,440.9202915789203
12,31,80,466.1883187936398
13,35,86,484.2184935288207
14,39,89,501.74068285186087
15,43,92,514.67183059423
16,47,96,530.8674788648859
17,49,97,545.6133777064812
18,56,103,556.1123648039548
19,61,106,557.6273176411423
20,66,109,557.5239487708276
21,74,115,555.7489833217667
22,80,117,550.7763644014582
23,87,119,543.3510789989931
24,93,121,543.0609337229564
25,97,125,541.9829546231016
26,104,130,541.5924013293672
27,117,134,527.7635475765949
28,125,136,515.9679124813837
29,133,141,503.55486591914564
30,140,145,491.1754933875136
31,150,148,480.15378766657017
32,161,150,464.71918597074904
33,171,153,450.29785803733796
34,176,156,437.9117231936517
35,186,159,423.0267705789789
36,194,161,410.5369397574871
37,202,163,398.2854958546406
38,209,165,388.05967286534695
39,222,167,374.47164240658526
40,229,167,361.84350955408473
41,240,169,348.5194096138598
42,244,169,339.72732900875394
43,255,168,325.47373505255115
44,258,167,313.0818620371366
45,269,163,302.15083144699975
46,279,160,293.08969884583144
47,286,159,284.8069637985946
48,291,155,279.29147719787215
49,301,155,268.0181631945464
50,306,155,258.1014165147126
51,312,142,245.33255337602228
52,323,141,231.5486458598492
53,327,142,222.7306585142801
54,334,138,216.0261393671995
55,336,134,210.8160895326796
56,340,130,203.63714966686058
57,343,130,197.6970646359935
58,341,126,194.69658294999337
59,347,120,192.59898593611425
60,350,117,191.23270951534624
61,352,112,189.96098866363667
62,352,111,188.17100695103278
63,355,107,186.45240110291482
64,358,106,185.98399668019786
65,359,104,182.04902477767956
66,359,102,180.77975160860828
67,362,102,178.35529262928407
68,364,102,178.0122714548267
69,363,96,179.26564282303497
70,365,94,182.1507134584657
71,359,92,184.9404300386744
72,356,90,187.51951478732525
73,352,87,189.74611386564214
74,350,84,191.30903686824252
75,351,84,191.6053523425808
76,345,80,193.8824418245189
77,337,77,191.93138943785743
78,329,74,194.2130203438313
79,324,74,196.66493574442205
80,320,71,198.34634919900955
81,312,70,198.47324596238184
82,302,68,201.08357302530692
83,295,65,204.91814856435013
84,295,65,208.47367706225072
85,288,61,212.6372019945345
86,284,58,214.9694418124429
87,280,59,218.6029729524942
88,275,59,221.91501623137933
89,263,59,225.00824456200291
90,258,57,230.04636961899888
91,249,57,237.9573224816218
92,247,56,244.0763535461944
93,238,56,250.6586506452256
94,237,55,254.00728295822805
95,228,54,257.9286719220271
96,226,56,258.01488852096065
97,222,56,258.1017075902373
98,219,58,262.64335903617314
99,210,59,267.6312164425396
100,210,55,272.93422554445857
101,205,54,278.32015793935955
102,195,53,284.27677792317417
103,191,51,287.7920788053492
104,184,49,292.73549608805985
105,180,49,298.985369351564
106,178,48,304.72706748968585
107,175,47,312.4236217015543
108,177,46,320.9507115352964
109,166,46,328.7438841807232
110,162,44,335.9982162243493
111,160,42,343.39711368988935
112,159,40,350.50054579770256
113,155,39,357.44852177123926
114,149,39,365.21271039949823
115,146,37,372.9584579734977
116,145,37,381.0091910198335
117,142,38,388.5126329888005
118,136,37,396.90344389502343
119,135,34,404.4935123140958
120,128,33,412.5613143989288
121,128,32,421.05155160493393
122,127,32,430.94594243817977
123,125,32,440.2465380421266
124,122,31,450.0081798962275
125,117,29,460.78411445435563
126,117,28,473.7440843044377
127,114,28,486.0016443701412
128,115,28,498.5676097613937
129,113,27,511.32755700176847
130,111,24,523.9163373578917
131,110,23,536.9222623180356
132,111,22,546.6283967297393
133,110,22,555.0927561388412
134,105,21,565.684328523956
135,102,20,576.6670827681053
136,99,20,588.269162230928
137,98,19,600.9563332516414
138,96,15,614.1364094923752
139,96,13,626.5717697366931
140,95,13,639.7973965984646
141,93,12,652.9752073396282
142,91,11,665.7893279505848
143,91,11,678.605516847072
144,90,9,690.4971567304478
145,89,8,699.3880831340459
146,81,8,711.1299232409907
147,79,7,727.2167012056801
148,77,7,744.0609533953585
149,76,7,760.37024687346
150,71,5,776.2651304491095
151,70,5,792.6463338444496
152,68,3,808.5465812238573
153,64,3,825.7689993754186
154,64,3,843.3352343162942
155,63,2,861.7803189972461
156,59,2,880.0048347977403
157,58,2,898.736255130065
158,54,2,917.1768648063176
159,52,2,936.1092980217468
160,51,2,955.7980468568121
161,49,2,975.2602225150549
162,48,2,995.1378942277926
163,45,1,1014.7489463558743
164,44,0,1034.1170310781692
