"Time","trees","people","pollution"
0,0,30,0
1,3,31,0
2,5,34,0
3,7,36,0
4,11,42,0
5,13,51,0
6,14,56,0
7,17,61,0
8,24,66,0
9,28,72,0
10,30,80,0
11,37,83,0
12,39,86,0
13,45,91,0
14,51,92,0
15,54,98,0
16,58,105,0
17,67,110,0
18,71,113,0
19,79,116,0
20,90,119,0
21,98,128,0
22,103,130,0
23,112,133,0
24,118,135,0
25,122,137,0
26,125,140,0
27,134,141,0
28,138,147,0
29,144,151,0
30,150,153,0
31,158,156,0
32,163,159,0
33,170,163,0
34,179,165,0
35,192,166,0
36,202,167,0
37,206,170,0
38,218,171,0
39,228,173,0
40,235,174,0
41,242,176,0
42,250,177,0
43,259,177,0
44,270,178,0
45,280,180,0
46,288,182,0
47,298,184,0
48,310,187,0
49,315,189,0
50,321,191,0
51,328,164,0
52,334,165,0
53,340,164,0
54,345,166,0
55,351,161,0
56,357,153,0
57,362,150,0
58,363,147,0
59,364,144,0
60,377,138,0
61,380,130,0
62,386,128,0
63,385,125,0
64,387,123,0
65,388,122,0
66,389,118,0
67,383,112,0
68,384,107,0
69,386,106,0
70,380,104,0
71,375,102,0
72,375,93,0
73,369,92,0
74,368,90,0
75,366,89,0
76,366,87,0
77,360,88,0
78,360,88,0
79,358,83,0
80,361,80,0
81,359,79,0
82,357,76,0
83,354,73,0
84,350,69,0
85,338,68,0
86,332,67,0
87,331,67,0
88,324,64,0
89,316,63,0
90,313,61,0
91,307,60,0
92,300,58,0
93,293,57,0
94,283,57,0
95,276,56,0
96,271,54,0
97,264,52,0
98,253,50,0
99,249,47,0
100,247,45,0
101,241,43,0
102,237,40,0
103,232,38,0
104,224,36,0
105,218,32,0
106,212,31,0
107,207,30,0
108,200,28,0
109,199,26,0
110,184,24,0
111,176,24,0
112,169,24,0
113,165,23,0
114,157,23,0
115,153,20,0
116,150,20,0
117,149,18,0
118,145,17,0
119,135,17,0
120,130,15,0
121,128,14,0
122,124,13,0
123,121,13,0
124,117,12,0
125,115,11,0
126,112,10,0
127,111,10,0
128,107,6,0
129,103,5,0
130,94,4,0
131,89,3,0
132,86,2,0
133,82,2,0
134,77,2,0
135,76,2,0
136,72,1,0
137,70,1,0
138,65,0,0
