"Time","trees","people","pollution"
0,0,30,6
1,0,33,10.800000000000006
2,2,34,15.12
3,3,35,19.20000000000002
4,5,35,23.112000000000002
5,6,37,26.899199999999983
6,6,39,30.586869000000043
7,8,44,34.19155620000003
8,10,50,37.72476590999989
9,13,52,41.19495181799992
10,16,54,44.27102349479999
11,19,54,46.50253144082996
12,22,55,49.16383295906698
13,27,58,50.67934585539276
14,30,58,52.663607891751134
15,31,58,54.730331130811074
16,37,60,55.945246199845734
17,38,62,57.59248900660115
18,42,62,58.89026718836079
19,45,63,60.369805704302564
20,46,64,61.84432304166364
21,53,64,59.14393002606797
22,58,64,58.38214323667574
23,61,64,58.2172077225326
24,64,65,57.932702996248125
25,73,65,57.75081246283093
26,75,65,57.91269686346529
27,77,66,58.18111852290175
28,79,67,58.495410803113366
29,81,67,55.9454647816329
30,82,67,55.14543253433282
31,85,67,54.740690000724435
32,89,67,54.52070882736594
33,93,68,54.42371239753962
34,97,68,54.407602452538974
35,101,68,54.25937560654356
36,104,68,54.264176403609916
37,112,68,54.205749076527326
38,113,68,54.235686316727744
39,114,68,54.294022075667556
40,115,68,54.29395005377806
41,120,68,52.7978561932431
42,125,68,52.30795418849455
43,131,68,51.356016249273935
44,136,68,50.07031641236506
45,136,68,49.448443248376364
46,140,68,48.69484435161268
47,144,67,46.82246522674782
48,145,65,45.936006611389764
49,147,62,45.28827485539072
50,150,62,44.70856705800067
51,150,37,44.254188678437245
52,148,35,43.87209701492257
53,148,34,43.5462257730155
54,150,32,42.16713153763152
55,151,32,41.6319287249229
56,152,31,41.24030805721311
57,152,28,40.93864519461295
58,152,23,40.503120646248476
59,150,18,40.24132291471658
60,147,16,40.02509596912806
61,144,14,39.86974580713494
62,141,14,39.897889090722984
63,136,13,39.91986676676186
64,133,10,40.18227115599425
65,133,10,40.45990406548703
66,127,10,40.714530041884885
67,126,8,40.96814023100878
68,123,6,41.199928495606756
69,120,6,41.5018994835459
70,119,5,41.780973563635214
71,112,4,42.03660338370657
72,107,4,43.45524425809131
73,104,4,44.767935749754095
74,101,3,45.974020040373425
75,92,2,47.11325274052078
76,90,2,48.235656490062645
77,89,2,49.29850187216741
78,87,1,50.31116311486896
79,85,1,51.282497478291674
80,84,1,52.8955047946109
81,81,1,54.477491296229715
82,77,1,56.03619509311755
83,73,1,57.558475772495605
84,69,0,59.045739558084186
