"Time","trees","people","pollution"
0,0,30,6
1,0,33,10.800000000000006
2,0,37,15.120000000000001
3,0,41,19.20000000000001
4,0,45,23.11199999999999
5,0,49,26.89919999999998
6,0,55,30.588048000000008
7,0,63,34.196486400000026
8,0,71,37.73732975999995
9,0,80,41.22014159999992
10,0,86,44.65229872319998
11,0,92,48.039644920319944
12,0,97,51.386911092816085
13,0,104,54.69799693602249
14,0,108,57.97616629838675
15,0,114,61.22418664906022
16,0,121,64.44443112803631
17,0,125,67.63895482674769
18,0,132,70.80955287702344
19,0,142,73.95780541716421
20,0,150,77.0851129089414
21,0,161,80.19272423810838
22,0,169,83.28175933494416
23,0,174,86.35322757600777
24,0,183,89.40804289747408
25,0,190,92.44703631606967
26,0,197,95.47096638514812
27,0,203,98.48052799041368
28,0,212,101.47635979889176
29,0,224,104.45905060670049
30,0,238,107.42914477968206
31,0,245,110.38714694157989
32,0,251,113.33352603406884
33,0,254,116.26871884926543
34,0,258,119.19313311674429
35,0,262,122.10715021238276
36,0,271,125.01112754458921
37,0,277,127.9054006640701
38,0,283,130.79028513562855
39,0,291,133.66607820432827
40,0,299,136.5330602832475
41,0,308,139.39149628588817
42,0,315,142.24163682285769
43,0,321,145.0837192795638
44,0,326,147.91796878927016
45,0,339,150.7445991138528
46,0,348,153.56381344291577
47,0,354,156.37580512047012
48,0,367,159.18075830721006
49,0,377,161.97884858533226
50,0,383,164.7702435120212
51,0,366,167.5551031269232
52,0,374,170.33358041829953
53,0,381,173.1058217519923
54,0,387,175.8719672668447
55,0,393,178.63215123980478
56,0,400,181.3865024235608
57,0,403,184.13514435926473
58,0,403,186.87819566659655
59,0,404,189.61577031319894
60,0,401,192.34797786528245
61,0,404,195.0749237210174
62,0,400,197.79670932818846
63,0,398,200.51343238739153
64,0,397,203.22518704196474
65,0,400,205.93206405573636
66,0,401,208.63415097951133
67,0,397,211.33153230720993
68,0,396,214.0242896224222
69,0,394,216.71250173611827
70,0,390,219.39624481614513
71,0,387,222.07559250913445
72,0,384,224.7506160553454
73,0,377,227.42138439695083
74,0,377,230.08796428022245
75,0,372,232.75042035202566
76,0,370,235.40881525102725
77,0,372,238.06320969394844
78,0,370,240.71366255719437
79,0,367,243.36023095416854
80,0,362,246.0029703085463
81,0,360,248.64193442374642
82,0,361,251.27717554886252
83,0,363,253.9087444412541
84,0,368,256.53669042601115
85,0,372,259.16106145246954
86,0,379,261.7819041479655
87,0,379,264.3992638689795
88,0,378,267.0131847498318
89,0,373,269.62370974905406
90,0,368,272.2308806935917
91,0,371,274.83473832093813
92,0,368,277.4353223193298
93,0,368,280.0326713660923
94,0,371,282.62682316426464
95,0,373,285.2178144775651
96,0,373,287.805681163813
97,0,372,290.390458206852
98,0,373,292.9721797471152
99,0,367,295.5508791108317
100,0,364,298.1265888379825
101,0,363,300.69934070908397
102,0,366,303.26916577081295
103,0,365,305.8360943605712
104,0,361,308.4001561300224
105,0,363,310.96138006765864
106,0,365,313.51979452044554
107,0,361,316.0754272145736
108,0,358,318.628305275392
109,0,358,321.178455246526
110,0,360,323.7259031082463
111,0,364,326.27067429511084
112,0,366,328.81279371291004
113,0,374,331.35228575496217
114,0,378,333.88917431776775
115,0,383,336.423482816085
116,0,381,338.95523419740226
117,0,385,341.4844509558897
118,0,387,344.0111551458223
119,0,388,346.5353683944767
120,0,389,349.05711191459693
121,0,390,351.5764065163601
122,0,392,354.0932726189377
123,0,394,356.60773026159836
124,0,399,359.1197991144667
125,0,403,361.6294984888421
126,0,410,364.13684734718515
127,0,413,366.6418643127358
128,0,413,369.14456767881035
129,0,413,371.64497541774455
130,0,411,374.14310518956887
131,0,410,376.6389743503542
132,0,411,379.1325999602773
133,0,405,381.62399879142066
134,0,407,384.1131873353073
135,0,403,386.6001818101857
136,0,402,389.0849981680554
137,0,396,391.5676521014876
138,0,393,394.0481590501956
139,0,387,396.52653420740904
140,0,391,399.00279252603093
141,0,396,401.4769487245962
142,0,393,403.9490172930554
143,0,387,406.4190124983411
144,0,384,408.88694838979427
145,0,376,411.3528388043946
146,0,377,413.8166973718428
147,0,375,416.2785375194702
148,0,372,418.7383724770127
149,0,365,421.19621528122406
150,0,363,423.65207878035875
151,0,367,426.10597563851144
152,0,366,428.5579183398317
153,0,357,431.0079191926024
154,0,348,433.4559903332163
155,0,347,435.9021437300088
156,0,346,438.3463911869943
157,0,345,440.7887443475054
158,0,342,443.22921469767795
159,0,342,445.66781356990634
160,0,342,448.10455214613177
161,0,341,450.53944146108023
162,0,336,452.9724924053903
163,0,335,455.4037157286605
164,0,336,457.8331220423978
165,0,338,460.2607218229084
166,0,327,462.6865254140757
167,0,331,465.1105430300938
168,0,325,467.5327847580968
169,0,323,469.95326056074293
170,0,321,472.37198027871193
171,0,316,474.7889536331401
172,0,322,477.2041902279835
173,0,320,479.6176995523358
174,0,316,482.02949098266225
175,0,314,484.4395737849908
176,0,318,486.8479571170397
177,0,318,489.2546500302905
178,0,316,491.6596614720035
179,0,309,494.06300028720057
180,0,302,496.46467522055343
181,0,299,498.86469491828103
182,0,300,501.263067929954
183,0,297,503.65980271027354
184,0,299,506.0549076207993
185,0,297,508.4483909316482
186,0,298,510.84026082311937
187,0,295,513.2305253873174
188,0,291,515.6191926297134
189,0,294,518.0062704706686
190,0,295,520.3917667469278
191,0,294,522.7756892130778
192,0,290,525.1580455429563
193,0,284,527.5388433310507
194,0,283,529.9180900938413
195,0,278,532.2957932711334
196,0,275,534.671960227339
197,0,266,537.0465982527419
198,0,268,539.4197145647216
199,0,269,541.7913163089677
200,0,269,544.1614105606404
201,0,266,546.5300043255444
202,0,256,548.8971045412138
203,0,258,551.2627180780457
204,0,253,553.626851740357
205,0,252,555.9895122674161
206,0,249,558.3507063345062
207,0,248,560.7104405538935
208,0,245,563.0687214758315
209,0,247,565.425555589503
210,0,242,567.7809493239686
211,0,240,570.1349090490859
212,0,237,572.4874410763995
213,0,238,574.8385516600272
214,0,242,577.1882469975192
215,0,237,579.536533230704
216,0,230,581.8834164465057
217,0,229,584.2289026777516
218,0,224,586.5729979039758
219,0,220,588.9157080521782
220,0,218,591.2570389975915
221,0,217,593.5969965644199
222,0,219,595.9355865265669
223,0,217,598.2728146083592
224,0,220,600.6086864852226
225,0,222,602.9432077843934
226,0,220,605.2763840855628
227,0,222,607.6082209215635
228,0,220,609.9387237789847
229,0,217,612.2678980988251
230,0,217,614.5957492771076
231,0,219,616.9222826654742
232,0,225,619.2475035718093
233,0,227,621.5714172607865
234,0,232,623.8940289544894
235,0,231,626.2153438329224
236,0,232,628.5353670345975
237,0,229,630.8541036570696
238,0,234,633.1715587574565
239,0,236,635.4877373529596
240,0,231,637.8026444214065
241,0,231,640.1162849017088
242,0,232,642.4286636943806
243,0,232,644.7397856620165
244,0,233,647.049655629772
245,0,231,649.3582783858201
246,0,234,651.6656586818139
247,0,234,653.9718012333421
248,0,237,656.2767107203626
249,0,239,658.5803917876399
250,0,235,660.8828490451676
251,0,231,663.1840870685968
252,0,232,665.4841103996396
253,0,231,667.7829235464707
254,0,231,670.08053098414
255,0,231,672.3769371549383
256,0,231,674.6721464688109
257,0,230,676.9661633037022
258,0,226,679.2589920059586
259,0,221,681.5506368906712
260,0,219,683.8411022420445
261,0,219,686.1303923137438
262,0,217,688.4185113292408
263,0,216,690.7054634821632
264,0,213,692.9912529366212
265,0,212,695.2758838275367
266,0,212,697.5593602609803
267,0,214,699.8416863144727
268,0,212,702.1228660373121
269,0,209,704.4029034508809
270,0,208,706.681802548939
271,0,205,708.9595672979364
272,0,204,711.2362016372982
273,0,204,713.5117094797295
274,0,197,715.7860947114791
275,0,194,718.0593611926295
276,0,190,720.3315127573754
277,0,190,722.6025532143057
278,0,184,724.8724863466488
279,0,185,727.1413159125509
280,0,185,729.4090456453296
281,0,184,731.675679253747
282,0,180,733.9412204222232
283,0,179,736.2056728111361
284,0,179,738.4690400570157
285,0,174,740.7313257728252
286,0,170,742.9925335481682
287,0,170,745.2526669495436
288,0,171,747.5117295205573
289,0,171,749.7697247821719
290,0,173,752.0266562329055
291,0,176,754.2825273490721
292,0,177,756.5373415849881
293,0,176,758.7911023731922
294,0,179,761.0438131246369
295,0,182,763.2954772289316
296,0,184,765.5460980545251
297,0,183,767.7956789489036
298,0,182,770.0442232388018
299,0,183,772.2917342304028
300,0,176,774.5382152095011
301,0,177,776.783669441743
302,0,176,779.0281001727791
303,0,175,781.2715106284537
304,0,177,783.5139040149957
305,0,181,785.7552835192097
306,0,181,787.9956523086324
307,0,181,790.2350135317156
308,0,180,792.4733703180174
309,0,182,794.7107257783375
310,0,184,796.9470830049293
311,0,183,799.1824450716247
312,0,183,801.4168150340395
313,0,182,803.650195929699
314,0,179,805.8825907782223
315,0,181,808.1140025814773
316,0,179,810.3444343237061
317,0,179,812.573888971747
318,0,175,814.8023694751037
319,0,173,817.0298787661684
320,0,176,819.2564197603093
321,0,174,821.4819953560719
322,0,169,823.7066084352819
323,0,167,825.9302618632081
324,0,161,828.152958488693
325,0,160,830.3747011442997
326,0,161,832.5954926464537
327,0,162,834.8153357955662
328,0,158,837.0342333761729
329,0,153,839.2521881570696
330,0,150,841.4692028914388
331,0,148,843.6852803169835
332,0,145,845.9004231560441
333,0,142,848.1146341157338
334,0,140,850.3279158880822
335,0,134,852.540271150106
336,0,135,854.7517025639819
337,0,136,856.9622127771496
338,0,132,859.1718044224067
339,0,133,861.380480118076
340,0,133,863.5882424680751
341,0,131,865.7950940620437
342,0,128,868.0010374754862
343,0,124,870.2060752698311
344,0,122,872.4102099925805
345,0,120,874.6134441774307
346,0,122,876.8157803443227
347,0,121,879.0172209996077
348,0,120,881.2177686361175
349,0,117,883.417425733295
350,0,118,885.6161947572676
351,0,117,887.8140781609832
352,0,116,890.0110783842829
353,0,114,892.2071978540066
354,0,115,894.4024389841132
355,0,110,896.5968041757513
356,0,104,898.7902958173717
357,0,103,900.9829162848052
358,0,101,903.1746679413835
359,0,101,905.3655531380133
360,0,98,907.5555742132738
361,0,93,909.7447334935155
362,0,93,911.9330332929381
363,0,92,914.1204759136756
364,0,92,916.3070636459063
365,0,91,918.4927987679465
366,0,89,920.6776835462855
367,0,89,922.8617202357215
368,0,89,925.0449110794349
369,0,88,927.2272583090645
370,0,88,929.408764144789
371,0,87,931.5894307954252
372,0,84,933.7692604584846
373,0,84,935.9482553202878
374,0,84,938.1264175560049
375,0,83,940.3037493297552
376,0,81,942.4802527947062
377,0,77,944.6559300930941
378,0,75,946.8307833563667
379,0,72,949.0048147052175
380,0,72,951.1780262496603
381,0,70,953.3504200891211
382,0,66,955.5219983125037
383,0,63,957.6927629982713
384,0,60,959.8627162144976
385,0,57,962.0318600189593
386,0,53,964.2001964591872
387,0,51,966.3677275725709
388,0,48,968.5344553863794
389,0,46,970.7003819178684
390,0,38,972.8655091743257
391,0,36,975.0298391531551
392,0,36,977.193373841936
393,0,34,979.3561152184822
394,0,32,981.5180652509291
395,0,29,983.6792258977553
396,0,28,985.8395991079051
397,0,26,987.9991868207964
398,0,24,990.1579909664346
399,0,24,992.316013465418
400,0,22,994.4732562290588
401,0,22,996.6297211593954
402,0,21,998.7854101492974
403,0,20,1000.9403250824819
404,0,19,1003.0944678335953
405,0,16,1005.2478402682748
406,0,16,1007.4004442432033
407,0,13,1009.552281606163
408,0,11,1011.7033541961049
409,0,9,1013.8536638431782
410,0,9,1016.0032123688245
411,0,9,1018.1520015858
412,0,8,1020.3000332982537
413,0,8,1022.447309301769
414,0,7,1024.5938313834213
415,0,6,1026.7396013218404
416,0,5,1028.8846208872487
417,0,4,1031.028891841525
418,0,2,1033.172415938262
419,0,2,1035.3151949227786
420,0,2,1037.4572305322565
421,0,2,1039.5985244956921
422,0,2,1041.7390785340003
423,0,2,1043.8788943600887
424,0,2,1046.0179736788314
425,0,0,1048.1563181871895
