"Time","trees","people","pollution"
0,0,30,15
1,3,34,27.000000000000014
2,5,38,37.740000000000016
3,7,42,47.83200000000004
4,10,49,54.9938
5,16,57,62.47315000000019
6,17,62,69.81791399999989
7,20,69,76.89461530000017
8,22,79,83.60713927000033
9,25,84,90.1426934630001
10,27,92,91.47560614210009
11,31,97,91.33214201865992
12,36,102,94.09213901907422
13,38,106,97.51817945652824
14,43,111,100.99104346014592
15,47,118,103.17275686082844
16,51,124,105.93659797051113
17,57,127,108.69668944737124
18,61,130,111.48233009994757
19,71,131,113.87080758384766
20,78,134,116.47271083820972
21,90,139,119.00047290198981
22,94,144,121.51898104477603
23,100,148,118.99463674439022
24,112,155,113.14307935409805
25,119,162,110.75095660406924
26,125,163,107.9278277587365
27,133,167,104.45064642284558
28,141,172,102.41980001491257
29,146,179,99.40258243269385
30,153,185,97.78862239344919
31,163,187,94.65302354765484
32,171,191,93.04433122671347
33,179,197,91.45734898620749
34,192,203,90.21845509704222
35,202,207,89.21067971208312
36,215,208,88.29616321840328
37,226,214,86.97819740193576
38,233,218,86.08234358867286
39,240,221,85.32414170146454
40,251,222,84.46930764141388
41,258,225,83.85845041232491
42,274,228,82.67982988231117
43,287,235,81.68670898438515
44,296,235,80.9686567624163
45,305,235,80.36012699130335
46,314,236,78.64950449634097
47,327,235,77.73589692318413
48,340,238,73.23440456020931
49,353,242,68.69592673842534
50,368,246,64.12342491540737
51,381,224,60.941299142334564
52,387,225,59.38424244357672
53,397,223,58.10113578371228
54,403,221,55.19046838229588
55,407,211,54.99170716317821
56,415,206,54.70394024972403
57,424,204,54.36551644878883
58,432,202,54.0348851429294
59,439,198,53.78086649846
60,446,194,53.39519389869632
61,458,191,53.65484992248612
62,463,186,53.30448190960326
63,471,183,53.0425445810831
64,475,182,52.82358434315815
65,481,178,52.650173246718026
66,490,173,52.535823128897455
67,493,170,50.58546906788626
68,494,168,50.089365887651326
69,491,166,49.94221576504964
70,489,166,49.888603230556534
71,484,166,49.87093264117568
72,495,163,48.85685164885448
73,493,159,48.51170568695634
74,487,157,49.21790824550038
75,485,150,50.133900013443345
76,486,145,50.95266492301145
77,483,144,51.68328009148895
78,479,142,52.34783422905775
79,479,141,52.940733158326765
80,480,138,54.36619909158273
81,479,136,55.825855668947156
82,480,137,57.28438551957454
83,487,133,58.60365100225094
84,482,132,59.89194636410236
85,478,128,61.00325929789035
86,479,123,62.10993914067431
87,472,126,62.98845041965489
88,471,123,62.46467155070451
89,471,121,59.26243341669991
90,471,123,58.093202696867735
91,472,123,57.50599984098385
92,462,123,57.014378455746915
93,455,123,56.81852871124854
94,451,119,56.75145906927401
95,451,119,55.70577138754462
96,448,120,55.149131950625296
97,440,122,55.02332076432825
98,434,123,54.986638136367716
99,425,121,56.983697354484825
100,417,117,58.16205916252164
101,404,116,59.50178613951487
102,403,118,58.38653107985664
103,394,117,58.31033167362818
104,391,115,58.55978095334232
105,386,114,57.36894675266912
106,384,115,57.35534796030315
107,381,116,57.402055226970916
108,375,114,56.96061906159807
109,371,118,56.76907101302891
110,372,118,54.90129223273535
111,364,120,52.99013302319034
112,357,120,52.062061593173226
113,353,122,51.43542670143963
114,350,122,50.98857523427084
115,347,124,50.614083856991996
116,343,125,50.15686981394373
117,343,127,49.27734888633541
118,346,128,46.47774619139498
119,347,128,44.94533009720396
120,344,129,44.52127784427828
121,345,126,44.06202800842963
122,336,127,42.381935978048304
123,339,127,40.513650655332356
124,339,126,39.829497717112545
125,338,124,39.40405539847433
126,337,125,39.11106083218855
127,339,127,38.804142020858656
128,348,129,38.419679339268264
129,346,127,38.19933756012567
130,348,125,38.06194510004195
131,344,125,37.95621892116501
132,341,122,38.161768312624446
133,331,120,37.939448702799496
134,328,119,37.18413882981652
135,326,116,36.74707237803416
136,319,120,35.34584468006591
137,318,120,34.61240604124372
138,317,118,32.49333394066628
139,315,119,31.64547774519601
140,312,120,31.263407103334917
141,310,116,31.04876391979567
142,309,114,30.97806954081643
143,310,114,30.952490423222947
144,316,112,29.50284871109086
145,312,111,28.99625561622923
146,310,113,29.958056913713623
147,312,115,30.96744388609916
148,309,113,31.43077619181315
149,310,113,31.892371786646315
150,310,111,32.262412994597575
151,307,110,32.670577445465845
152,306,105,33.531498827332385
153,308,105,34.548427312095704
154,306,105,35.298873197765985
155,308,104,35.73021618522201
156,306,102,36.09761581354155
157,304,99,35.60701773291037
158,304,97,34.45954659195693
159,301,96,31.776594336531083
160,292,93,30.57930756950618
161,288,94,30.157311096301445
162,288,90,28.441997746285757
163,291,90,27.68771103330501
164,289,88,27.255951571906152
165,285,89,26.47221838336907
166,283,89,26.220298555049208
167,278,87,26.05391666910139
168,276,86,25.92918739319312
